dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7489177489177489,0.7489177489177489,0.7478545618789522,0.8373230954531767,0.4841768094269514,8.461467027664185,0.4736979007720947,ok,,920,736,0,231,,30,1e-05,True,8.460968732833862,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7391304347826086,0.7391304347826086,,,0,True,False,,random,none,,,,,,True
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8528464017185822,0.8437685141652652,0.7963558715220949,0.8750818330605564,0.3538418974780197,9.080119132995604,0.5907347202301025,ok,,3722,2977,0,931,,30,1e-05,True,9.07962942123413,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8483221476510067,0.8483221476510067,,,0,True,False,,random,none,,,,,,True
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7411444141689373,0.740693610707586,0.740613675518327,0.8305411988356205,0.5084220702776182,17.32353663444519,0.4905660152435303,ok,,1467,1173,0,367,,30,1e-05,True,17.32308340072632,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7142857142857143,0.7380952380952381,,,10,True,False,,random,none,,,,,,True
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.6730245231607629,0.6493808029456501,0.6766025069803363,0.8305114952771342,0.5967048020234306,7.936278820037842,0.4630823135375976,ok,,1466,1172,0,367,,30,1e-05,True,7.935837268829346,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7142857142857143,0.7142857142857143,,,0,True,False,,random,none,,,,,,True
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7209355390758699,0.7207630432300667,0.7220066648552135,0.7944800863660842,0.5494298322264155,54.63952660560608,8.594046831130981,ok,,35060,28048,0,8765,,90,1e-05,True,54.63907909393311,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.7117798060467769,0.7117798060467769,,,0,True,False,,random,none,,,,,,True
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7091842555618939,0.7085310864861528,0.7066085492810845,0.7848866547962935,0.5623474754425271,196.39784383773804,8.627562522888184,ok,,35060,28048,0,8765,,90,1e-05,True,196.39725708961487,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.680405019965773,0.7139189960068454,,,24,False,False,,random,none,,,,,,True
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7119224187107815,0.7109570192803799,0.7100329770688006,0.7829829076645201,0.5692160284107085,54.853275775909424,8.615311861038208,ok,,35060,28048,0,8765,,90,1e-05,True,54.85279607772827,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.712065031374786,0.712065031374786,,,0,True,False,,random,none,,,,,,True
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data184/Fitness_Club_c,binclass,1200,240,300,6,2,0.7966666666666666,0.7910568700935312,0.7361848677638152,0.8270676691729323,0.4546457393183044,13.919032573699951,0.4807970523834228,ok,,1200,960,0,300,,30,1e-05,True,13.918485403060911,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7666666666666667,0.775,,,6,True,False,,random,none,,,,,,True
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data184/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.690625,0.6904768883547792,0.690625,0.759140625,0.5495888579199417,12.70693588256836,0.4861707687377929,ok,,1280,1024,0,320,,30,1e-05,True,12.706499814987184,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.68359375,0.6953125,,,4,True,False,,random,none,,,,,,True
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data184/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8217721518987342,0.820473915257765,0.7955302821171969,0.9615680616265714,0.516643212467639,36.6792848110199,1.635786056518555,ok,,7898,6318,0,1975,,30,1e-05,True,36.67882704734802,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7841772151898734,0.8075949367088607,,,12,True,False,,random,none,,,,,,True
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data184/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9369747899159664,0.9368834898709552,0.9350431618748662,0.9703930941000214,0.2093050645865777,10.237768173217772,0.4668140411376953,ok,,952,761,0,238,,30,1e-05,True,10.237268924713137,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9057591623036648,0.9109947643979056,,,2,True,False,,random,none,,,,,,True
Insurance,/home/crc00006699/zh/tabiclv2/data184/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.4991398046853526,0.5660885347032683,28.18956065177917,3.23755955696106,ok,,18838,15070,0,4710,,60,1e-05,True,28.18911027908325,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,0.7579617834394905,0.7579617834394905,,,0,True,False,,random,none,,,,,,True
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data184/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.7423770491803279,0.3195621416909866,8.286328792572021,0.4582698345184326,ok,,1378,1102,0,345,,30,1e-05,True,8.285938024520874,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9130434782608696,0.9130434782608696,,,0,True,False,,random,none,,,,,,True
KDD,/home/crc00006699/zh/tabiclv2/data184/KDD,binclass,4025,805,1007,45,2,0.8073485600794439,0.8060876822111309,0.8084447863652503,0.9054957194145264,0.3667904482035727,19.777090787887573,1.2310121059417725,ok,,4025,3220,0,1007,,30,1e-05,True,19.7766432762146,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8136645962732919,0.8248447204968944,,,4,True,False,,random,none,,,,,,True
Long,/home/crc00006699/zh/tabiclv2/data184/Long,binclass,3581,717,896,19,2,0.9921875,0.9922103018927738,0.9933585988667304,0.999871219368607,0.0187325010459584,9.105209827423096,0.6962440013885498,ok,,3581,2864,0,896,,30,1e-05,True,9.104695320129396,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.99581589958159,0.99581589958159,,,0,True,False,,random,none,,,,,,True
MagicTelescope,/home/crc00006699/zh/tabiclv2/data184/MagicTelescope,binclass,15216,3044,3804,9,2,0.8940588853838065,0.892488930158156,0.8711107837895832,0.948422916386322,0.2609174300320742,48.35559415817261,2.365799903869629,ok,,15216,12172,0,3804,,60,1e-05,True,48.3550910949707,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,0.8820630749014454,0.8876478318002629,,,11,True,False,,random,none,,,,,,True
Mobile_Price_Classification,/home/crc00006699/zh/tabiclv2/data184/Mobile_Price_Classification,multiclass,1600,320,400,20,4,0.9825,0.982511816508284,0.9825,0.9995,0.0528693434723485,8.542408227920532,0.4868800640106201,ok,,1600,1280,0,400,,30,1e-05,True,8.541999816894531,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.975,0.975,,,0,True,False,,random,none,,,,,,True
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data184/Performance-Prediction,binclass,1072,215,268,19,2,0.7425373134328358,0.7366111238221777,0.7059052059052059,0.7973821050744128,0.529424233271593,11.66794776916504,0.4532296657562256,ok,,1072,857,0,268,,30,1e-05,True,11.667513608932495,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6697674418604651,0.6837209302325581,,,4,True,False,,random,none,,,,,,True
PieChart3,/home/crc00006699/zh/tabiclv2/data184/PieChart3,binclass,861,173,216,37,2,0.8796296296296297,0.8350746268656716,0.5343915343915344,0.8549872623946698,0.2800567389682768,8.106360912322998,0.4707136154174804,ok,,861,688,0,216,,30,1e-05,True,8.105933666229248,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.884393063583815,0.884393063583815,,,0,True,False,,random,none,,,,,,True
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data184/PizzaCutter3,binclass,834,167,209,37,2,0.8708133971291866,0.8343952016712312,0.5291304347826087,0.8830434782608696,0.2592999893782957,8.075592041015625,0.4542880058288574,ok,,834,667,0,209,,30,1e-05,True,8.075161695480347,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8922155688622755,0.8922155688622755,,,0,True,False,,random,none,,,,,,True
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data184/QSAR_biodegradation,binclass,843,169,211,41,2,0.8815165876777251,0.8803938097917156,0.8586519114688129,0.9387323943661972,0.3162718776767058,16.840163946151733,0.4733779430389404,ok,,843,674,0,211,,30,1e-05,True,16.839662313461304,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8461538461538461,0.8698224852071006,,,9,True,False,,random,none,,,,,,True
SDSS17,/home/crc00006699/zh/tabiclv2/data184/SDSS17,multiclass,80000,16000,20000,12,3,0.9763,0.9761725103854906,0.9710189507472324,0.996758487836756,0.0748491455535557,257.76487731933594,25.19096875190735,ok,,80000,64000,0,20000,,210,1e-05,True,257.76434564590454,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,7,tabpfn_finetuning_api_random,acc,0.9750625,0.97525,,,7,True,False,,random,none,,,,,,True
Telecom_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Telecom_Churn_Dataset,binclass,2666,534,667,17,2,0.970014992503748,0.9691826476871452,0.9140170012660518,0.9218846084282872,0.1265697279785121,11.811769723892212,0.7063696384429932,ok,,2666,2132,0,667,,30,1e-05,True,11.811132192611694,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9700374531835206,0.9719101123595506,,,2,True,False,,random,none,,,,,,True
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data184/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.649390243902439,0.5781372934697089,0.5641406250000001,0.6676464843750001,0.6264848155667776,22.975631713867188,0.6141564846038818,ok,,2620,2096,0,656,,30,1e-05,True,22.9751410484314,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6526717557251909,0.6583969465648855,,,15,True,False,,random,none,,,,,,True
Wilt,/home/crc00006699/zh/tabiclv2/data184/Wilt,binclass,3856,772,965,5,2,0.9906735751295336,0.9904507934090568,0.9315970174403908,0.9881413766955937,0.0336215426176042,15.968535661697388,0.5705411434173584,ok,,3856,3084,0,965,,30,1e-05,True,15.968124866485596,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9883419689119172,0.9896373056994818,,,8,True,False,,random,none,,,,,,True
accelerometer,/home/crc00006699/zh/tabiclv2/data184/accelerometer,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"ValueError: could not broadcast input array from shape (4,) into shape (3,)",0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,,,,,,,,True
ada_agnostic,/home/crc00006699/zh/tabiclv2/data184/ada_agnostic,binclass,3649,730,913,48,2,0.8389923329682366,0.8378888103725963,0.7779022874096146,0.8983252205854022,0.3380539244305084,12.549881219863892,1.1822760105133057,ok,,3649,2919,0,913,,30,1e-05,True,12.549395084381104,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8534246575342466,0.8534246575342466,,,0,True,False,,random,none,,,,,,True
adult,/home/crc00006699/zh/tabiclv2/data184/adult,binclass,32561,6513,16281,14,2,0.874393464774891,0.8709651812239977,0.8015762464032941,0.9291598579906204,0.273965835852247,151.29589986801147,9.873324632644652,ok,,32561,26048,0,16281,,90,1e-05,True,151.29533863067627,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.8595117457392907,0.873637340703209,,,14,True,False,,random,none,,,,,,True
allbp,/home/crc00006699/zh/tabiclv2/data184/allbp,multiclass,3017,604,755,29,3,0.9788079470198676,0.975389238731662,0.54352108341028,0.986540001954744,0.0640939843750916,17.035148859024048,0.8321702480316162,ok,,3017,2413,0,755,,30,1e-05,True,17.034687995910645,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9784768211920528,0.9850993377483444,,,5,True,False,,random,none,,,,,,True
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data184/analcatdata_authorship,multiclass,672,135,169,69,4,0.9940828402366864,0.9940804879569156,0.9957627118644068,0.9999242768178148,0.0119386679449394,8.346934795379639,0.491685152053833,ok,,672,537,0,169,,30,1e-05,True,8.346533060073853,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data184/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.69,0.6610079840319361,0.4997552250047072,0.7473881272798621,0.7300323778481143,14.043880939483644,1.7788262367248535,ok,,2000,1600,0,500,,30,1e-05,True,14.043402671813965,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6975,0.6975,,,0,True,False,,random,none,,,,,,True
bank,/home/crc00006699/zh/tabiclv2/data184/bank,binclass,36168,7234,9043,16,2,0.9098750414685391,0.9078580832213466,0.7607894883246351,0.944984866473409,0.1831763431199776,82.15473079681396,9.653854846954346,ok,,36168,28934,0,9043,,90,1e-05,True,82.15424990653992,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.9189936411390656,0.919961293889964,,,2,True,False,,random,none,,,,,,True
baseball,/home/crc00006699/zh/tabiclv2/data184/baseball,multiclass,1072,215,268,16,3,0.9514925373134328,0.942167188252287,0.670995670995671,0.9683826401959332,0.1444511075880435,16.09873604774475,0.4621057510375976,ok,,1072,857,0,268,,30,1e-05,True,16.098243713378906,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9488372093023256,0.958139534883721,,,8,True,False,,random,none,,,,,,True
churn,/home/crc00006699/zh/tabiclv2/data184/churn,binclass,4000,800,1000,20,2,0.97,0.9690275740299898,0.9084371568457468,0.9400094122309464,0.1189096403379572,12.587154626846312,0.7999234199523926,ok,,4000,3200,0,1000,,30,1e-05,True,12.5867121219635,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.975,0.97625,,,2,True,False,,random,none,,,,,,True
company_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data184/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9699413489736072,0.9659102317479724,0.6549242424242424,0.9587637741046832,0.0735541821125398,52.352606534957886,2.449676275253296,ok,,5455,4364,0,1364,,30,1e-05,True,52.35212779045105,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9670027497708524,0.9725022914757104,,,11,True,False,,random,none,,,,,,True
connect-4,/home/crc00006699/zh/tabiclv2/data184/connect-4,multiclass,54045,10809,13512,42,3,0.8632326820603907,0.8484339056732695,0.6875051208614459,0.9460080781932714,0.3385801166958948,496.6551496982575,22.490808725357056,ok,,54045,43236,0,13512,,150,1e-05,True,496.6546440124512,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,5,tabpfn_finetuning_api_random,acc,0.8489221944675733,0.8737163474882043,,,19,True,False,,random,none,,,,,,True
credit,/home/crc00006699/zh/tabiclv2/data184/credit,binclass,13371,2675,3343,10,2,0.7747532156745438,0.7739723009862747,0.7747708231325825,0.8587507408966353,0.5048689616592797,20.23436117172241,2.051969528198242,ok,,13371,10696,0,3343,,60,1e-05,True,20.233771085739136,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,0.7805607476635514,0.7805607476635514,,,0,True,False,,random,none,,,,,,True
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data184/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.964197720973206,0.9642418520553064,0.9653518926504212,0.9956780899184864,0.0809331150608109,250.36604046821597,30.713514804840088,ok,,103904,83123,0,25976,,270,1e-05,True,250.3655633926392,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,9,tabpfn_finetuning_api_random,acc,0.9626100765121988,0.9632837688272942,,,2,True,False,,random,none,,,,,,True
default_of_credit_card_clients,/home/crc00006699/zh/tabiclv2/data184/default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.828,0.8051083277955948,0.6610645161134262,0.7992106524824502,0.4159269597325757,77.41507124900818,5.413898706436157,ok,,24000,19200,0,6000,,60,1e-05,True,77.41446924209595,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,0.8216666666666667,0.824375,,,6,True,False,,random,none,,,,,,True
dis,/home/crc00006699/zh/tabiclv2/data184/dis,binclass,3017,604,755,29,2,0.990728476821192,0.989524085374335,0.7493270524899058,0.9973082099596232,0.0213290765929446,19.101513862609863,0.8296113014221191,ok,,3017,2413,0,755,,30,1e-05,True,19.101046562194824,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9850993377483444,0.9900662251655628,,,7,True,False,,random,none,,,,,,True
drug_consumption,/home/crc00006699/zh/tabiclv2/data184/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.2316968605998004,0.1428571428571428,0.4577345352008025,1.5244990854460114,8.2337965965271,0.461355447769165,ok,,1507,1205,0,377,,30,1e-05,True,8.233309268951416,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.4039735099337748,0.4039735099337748,,,0,True,False,,random,none,,,,,,True
eeg-eye-state,/home/crc00006699/zh/tabiclv2/data184/eeg-eye-state,binclass,11984,2397,2996,14,2,0.9929906542056076,0.9929894266832971,0.9927445121690358,0.9997424113807336,0.0187521256281575,18.41753554344177,1.8933889865875244,ok,,11984,9587,0,2996,,30,1e-05,True,18.417038440704346,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9937421777221528,0.9937421777221528,,,0,True,False,,random,none,,,,,,True
estimation_of_obesity_levels,/home/crc00006699/zh/tabiclv2/data184/estimation_of_obesity_levels,multiclass,1688,338,423,16,7,0.9905437352245864,0.9905413452515084,0.9902298850574712,0.999986503812673,0.0184955879216706,8.788058996200562,0.4866828918457031,ok,,1688,1350,0,423,,30,1e-05,True,8.787656307220459,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9792899408284024,0.9792899408284024,,,0,True,False,,random,none,,,,,,True
eye_movements,/home/crc00006699/zh/tabiclv2/data184/eye_movements,multiclass,8748,1750,2188,27,3,0.909963436928702,0.9098146456712148,0.914823429460176,0.9825262787438126,0.2535688739962684,62.42280650138855,1.6593708992004397,ok,,8748,6998,0,2188,,30,1e-05,True,62.42231369018555,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8582857142857143,0.9497142857142856,,,29,False,False,,random,none,,,,,,True
first-order-theorem-proving,/home/crc00006699/zh/tabiclv2/data184/first-order-theorem-proving,multiclass,4894,979,1224,51,6,0.6070261437908496,0.5901702793582696,0.4833290476877813,0.8285565667242207,1.1248837745786917,13.57427716255188,1.4450232982635498,ok,,4894,3915,0,1224,,30,1e-05,True,13.573846578598022,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6138917262512769,0.6138917262512769,,,0,True,False,,random,none,,,,,,True
heloc,/home/crc00006699/zh/tabiclv2/data184/heloc,binclass,8000,1600,2000,22,2,0.728,0.7276066640228489,0.728,0.8021754999999999,0.5422763171988947,17.247143745422363,1.378740310668945,ok,,8000,6400,0,2000,,30,1e-05,True,17.246270895004272,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.721875,0.725625,,,2,True,False,,random,none,,,,,,True
house_16H,/home/crc00006699/zh/tabiclv2/data184/house_16H,binclass,10790,2158,2698,16,2,0.8917716827279466,0.8917716827279466,0.8917716827279466,0.9581893844436836,0.263731152758268,23.623188018798828,1.7650210857391355,ok,,10790,8632,0,2698,,30,1e-05,True,23.62260270118713,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8822984244670992,0.8846153846153846,,,3,True,False,,random,none,,,,,,True
ibm-employee-performance,/home/crc00006699/zh/tabiclv2/data184/ibm-employee-performance,binclass,1176,236,294,30,2,1.0,1.0,1.0,1.0,1.299389698134889e-05,8.90253734588623,0.4741871356964111,ok,,1176,940,0,294,,30,1e-05,True,8.902024745941162,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
internet_firewall,/home/crc00006699/zh/tabiclv2/data184/internet_firewall,multiclass,52425,10485,13107,7,4,0.9308766308079652,0.9282567791558411,0.7765747081319475,0.988693117900228,0.2185321191773843,89.74754810333252,16.62554621696472,ok,,52425,41940,0,13107,,150,1e-05,True,89.74703073501587,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,5,tabpfn_finetuning_api_random,acc,0.9346685741535526,0.934763948497854,,,7,True,False,,random,none,,,,,,True
jm1,/home/crc00006699/zh/tabiclv2/data184/jm1,binclass,8708,1742,2177,21,2,0.8185576481396417,0.7824221528939174,0.5877622160059301,0.7528913423403438,0.4281294202463439,32.36248469352722,1.5033791065216064,ok,,8708,6966,0,2177,,30,1e-05,True,32.36185145378113,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8197474167623421,0.8289322617680827,,,10,True,False,,random,none,,,,,,True
kc1,/home/crc00006699/zh/tabiclv2/data184/kc1,binclass,1687,338,422,21,2,0.8649289099526066,0.8308569425393248,0.5929971988795518,0.8237448825684119,0.3334716112728635,8.106071472167969,0.4715495109558105,ok,,1687,1349,0,422,,30,1e-05,True,8.105592250823975,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8698224852071006,0.8698224852071006,,,0,True,False,,random,none,,,,,,True
kr-vs-kp,/home/crc00006699/zh/tabiclv2/data184/kr-vs-kp,binclass,2556,512,640,36,2,0.9984375,0.9984376031804651,0.998502994011976,0.9999706469414114,0.0067094213582208,25.34396433830261,0.8882684707641602,ok,,2556,2044,0,640,,30,1e-05,True,25.34353399276733,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9921875,0.998046875,,,11,True,False,,random,none,,,,,,True
led24,/home/crc00006699/zh/tabiclv2/data184/led24,multiclass,2560,512,640,24,10,0.728125,0.7212110642568887,0.7276923691171063,0.957238760919237,0.7707776764395027,10.454326868057253,0.8057429790496826,ok,,2560,2048,0,640,,30,1e-05,True,10.453877925872805,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.734375,0.734375,,,0,True,False,,random,none,,,,,,True
madeline,/home/crc00006699/zh/tabiclv2/data184/madeline,binclass,2512,503,628,259,2,0.9347133757961784,0.9347059249320224,0.9346600129827978,0.9767222492697176,0.1884044549899327,29.817156314849854,4.105835199356079,ok,,2512,2009,0,628,,30,1e-05,True,29.816726684570312,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9284294234592444,0.9284294234592444,,,0,True,False,,random,none,,,,,,True
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data184/maternal_health_risk,multiclass,811,163,203,6,3,0.8620689655172413,0.8582925974148914,0.8597941828455925,0.9631826985765666,0.334555584711916,15.282137870788574,0.4564042091369629,ok,,811,648,0,203,,30,1e-05,True,15.281675100326538,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8220858895705522,0.8466257668711656,,,8,True,False,,random,none,,,,,,True
