dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
credit-g,/home/crc00006699/zh/tabiclv2/data184/credit-g,binclass,800,160,200,20,2,0.79,0.774077578051088,0.6976190476190476,0.8547619047619047,0.435871746105815,12.895226001739502,0.47648167610168457,ok,,800,640,0,200,,30,1e-05,True,12.894838809967041,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7625,0.79375,,,4,True,False,,random,none,,,,,,True
dabetes_130-us_hospitals,/home/crc00006699/zh/tabiclv2/data184/dabetes_130-us_hospitals,binclass,81412,16283,20354,20,2,0.6441977006976516,0.6409097394060362,0.6369890110148455,0.6986781802700435,0.6226559461754473,167.5112919807434,27.02142357826233,ok,,81412,65129,0,20354,,210,1e-05,True,167.51083397865295,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,7,tabpfn_finetuning_api_random,acc,0.6501873119204078,0.6501873119204078,,,0,True,False,,random,none,,,,,,True
delta_ailerons,/home/crc00006699/zh/tabiclv2/data184/delta_ailerons,binclass,5703,1141,1426,5,2,0.9537166900420757,0.9537166900420757,0.953539757480259,0.982876313352408,0.15716727585271284,9.269721031188965,0.7204999923706055,ok,,5703,4562,0,1426,,30,1e-05,True,9.269091844558716,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9456617002629273,0.9456617002629273,,,0,True,False,,random,none,,,,,,True
dna,/home/crc00006699/zh/tabiclv2/data184/dna,multiclass,2548,510,638,180,3,0.9749216300940439,0.9750157414217072,0.9745568525557863,0.9978661080750201,0.0815947150535172,46.33084297180176,3.1904313564300537,ok,,2548,2038,0,638,,30,1e-05,True,46.33041334152222,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9686274509803922,0.9745098039215686,,,5,True,False,,random,none,,,,,,True
dry_bean_dataset,/home/crc00006699/zh/tabiclv2/data184/dry_bean_dataset,multiclass,10888,2178,2723,16,7,0.9272860815277267,0.9273269806267231,0.9373099009009699,0.9959410056314508,0.18823672276537753,17.512503623962402,1.7955000400543213,ok,,10888,8710,0,2723,,30,1e-05,True,17.511985540390015,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9338842975206612,0.9338842975206612,,,0,True,False,,random,none,,,,,,True
electricity,/home/crc00006699/zh/tabiclv2/data184/electricity,binclass,36249,7250,9063,8,2,0.9234249144874765,0.9233287186680156,0.9204501149132022,0.980398777714214,0.17863390856962924,205.22028613090515,9.151057243347168,ok,,36249,28999,0,9063,,90,1e-05,True,205.2198498249054,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.8936551724137931,0.9289655172413793,,,21,True,False,,random,none,,,,,,True
eucalyptus,/home/crc00006699/zh/tabiclv2/data184/eucalyptus,multiclass,588,118,148,19,5,0.7027027027027027,0.7072166310879462,0.6887361992013155,0.938101793046633,0.6237668851858644,26.34578585624695,0.4728085994720459,ok,,588,470,0,148,,30,1e-05,True,26.34537148475647,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7033898305084746,0.7457627118644068,,,19,True,False,,random,none,,,,,,True
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data184/eye_movements_bin,binclass,6086,1218,1522,20,2,0.8232588699080158,0.8232252164575528,0.8232588699080158,0.9127125419385587,0.38330978746966154,38.94294810295105,1.0630381107330322,ok,,6086,4868,0,1522,,30,1e-05,True,38.942474365234375,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6436781609195402,0.8645320197044335,,,30,False,False,,random,none,,,,,,True
golf_play_dataset_extended,/home/crc00006699/zh/tabiclv2/data184/golf_play_dataset_extended,binclass,876,176,219,9,2,0.9315068493150684,0.9317758266249112,0.9007916561950239,0.9763759738627796,0.16386904406015707,11.218965768814087,0.4867117404937744,ok,,876,700,0,219,,30,1e-05,True,11.218520879745483,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9147727272727273,0.9318181818181818,,,3,True,False,,random,none,,,,,,True
hill-valley,/home/crc00006699/zh/tabiclv2/data184/hill-valley,binclass,969,194,243,100,2,0.8930041152263375,0.8917162017985063,0.8925619834710744,0.9533938490719416,0.37854387423686026,9.268364667892456,0.4878358840942383,ok,,969,775,0,243,,30,1e-05,True,9.2679283618927,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9175257731958762,0.9175257731958762,,,0,True,False,,random,none,,,,,,True
htru,/home/crc00006699/zh/tabiclv2/data184/htru,binclass,14318,2864,3580,8,2,0.9810055865921787,0.9808461102593907,0.9347193471934719,0.9879558170581706,0.061608590809061926,21.242055892944336,2.147390127182007,ok,,14318,11454,0,3580,,60,1e-05,True,21.24167513847351,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,0.9797486033519553,0.9797486033519553,,,0,True,False,,random,none,,,,,,True
in_vehicle_coupon_recommendation,/home/crc00006699/zh/tabiclv2/data184/in_vehicle_coupon_recommendation,binclass,10147,2030,2537,21,2,0.7737485218762318,0.7718380606661707,0.7631720276885857,0.8512014008955091,0.46949960117039247,46.06681847572327,1.7966723442077637,ok,,10147,8117,0,2537,,30,1e-05,True,46.06638813018799,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7630541871921183,0.7783251231527094,,,12,True,False,,random,none,,,,,,True
jasmine,/home/crc00006699/zh/tabiclv2/data184/jasmine,binclass,2387,478,597,144,2,0.8324958123953099,0.830927772854532,0.8326580772597697,0.8745033781508833,0.38455725403645463,83.94332575798035,2.62361216545105,ok,,2387,1909,0,597,,30,1e-05,True,83.9428448677063,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8368200836820083,0.8598326359832636,,,26,False,False,,random,none,,,,,,True
jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data184/jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.9902945113788487,0.9902907502860454,0.9864077423205924,0.9996209222594125,0.051601569854162345,185.29758524894714,8.616498947143555,ok,,35855,28684,0,8964,,90,1e-05,True,185.2970325946808,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.948821642727653,0.9960953841863059,,,20,True,False,,random,none,,,,,,True
kdd_ipums_la_97-small,/home/crc00006699/zh/tabiclv2/data184/kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.8766859344894027,0.8764837126282911,0.8766859344894027,0.9465995448487345,0.2676186280266074,9.88330078125,0.8012616634368896,ok,,4150,3320,0,1038,,30,1e-05,True,9.882684707641602,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.880722891566265,0.880722891566265,,,0,True,False,,random,none,,,,,,True
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data184/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,1.2993896981348888e-05,24.49703550338745,2.842893600463867,ok,,16640,13312,0,4160,,60,1e-05,True,24.49660015106201,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
led7,/home/crc00006699/zh/tabiclv2/data184/led7,multiclass,2560,512,640,7,10,0.740625,0.7344028439473028,0.7386593331245221,0.9590290945042852,0.7784400640818426,14.30797290802002,0.6048052310943604,ok,,2560,2048,0,640,,30,1e-05,True,14.307501554489136,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.732421875,0.736328125,,,5,True,False,,random,none,,,,,,True
mammography,/home/crc00006699/zh/tabiclv2/data184/mammography,binclass,8946,1790,2237,6,2,0.9888243182834153,0.9879016619731945,0.8065481429325823,0.9831455729625066,0.03387615823073752,12.561676740646362,1.139389991760254,ok,,8946,7156,0,2237,,30,1e-05,True,12.561301708221436,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.988268156424581,0.988268156424581,,,0,True,False,,random,none,,,,,,True
mfeat-factors,/home/crc00006699/zh/tabiclv2/data184/mfeat-factors,multiclass,1600,320,400,216,10,0.9775,0.977492574033173,0.9775,0.9995902777777778,0.08589009483962526,20.766728401184082,1.0226085186004639,ok,,1600,1280,0,400,,30,1e-05,True,20.76632523536682,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.98125,0.984375,,,3,True,False,,random,none,,,,,,True
mfeat-karhunen,/home/crc00006699/zh/tabiclv2/data184/mfeat-karhunen,multiclass,1600,320,400,64,10,0.97,0.9699556969393338,0.97,0.9995694444444444,0.10343661124824827,9.113251447677612,0.4857487678527832,ok,,1600,1280,0,400,,30,1e-05,True,9.112838983535767,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.98125,0.98125,,,0,True,False,,random,none,,,,,,True
mfeat-pixel,/home/crc00006699/zh/tabiclv2/data184/mfeat-pixel,multiclass,1600,320,400,240,10,0.9675,0.9674337174392721,0.9675,0.999,0.1286886149674886,76.97288393974304,1.3338487148284912,ok,,1600,1280,0,400,,30,1e-05,True,76.97245931625366,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.96875,0.9875,,,18,True,False,,random,none,,,,,,True
mice_protein_expression,/home/crc00006699/zh/tabiclv2/data184/mice_protein_expression,multiclass,864,173,216,75,8,1.0,1.0,1.0,1.0,0.00043146778065003945,10.778267860412598,0.47020554542541504,ok,,864,691,0,216,,30,1e-05,True,10.777838468551636,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9942196531791907,1.0,,,2,True,False,,random,none,,,,,,True
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data184/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9942040185471407,0.9941983711508204,0.9929721156632598,0.9992791231433549,0.024885496675729275,220.55250239372253,11.168550968170166,ok,,41408,33126,0,10352,,120,1e-05,True,220.5520498752594,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,4,tabpfn_finetuning_api_random,acc,0.9949287611687998,0.9963776865491427,,,21,True,False,,random,none,,,,,,True
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data184/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,1.0,1.0,0.00015180811247447696,9.980347394943237,0.7540075778961182,ok,,3926,3140,0,982,,30,1e-05,True,9.979821681976318,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
online_shoppers,/home/crc00006699/zh/tabiclv2/data184/online_shoppers,binclass,9864,1973,2466,14,2,0.9042984590429846,0.8997367305815303,0.7755486830601642,0.9307664479303797,0.2257094629348586,22.13996934890747,1.5347728729248047,ok,,9864,7891,0,2466,,30,1e-05,True,22.13951849937439,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9001520527116067,0.900658895083629,,,3,True,False,,random,none,,,,,,True
ozone-level-8hr,/home/crc00006699/zh/tabiclv2/data184/ozone-level-8hr,binclass,2027,406,507,72,2,0.9526627218934911,0.9438411998460645,0.668717105263158,0.9440131578947368,0.1259611151701423,12.273987770080566,1.2643201351165771,ok,,2027,1621,0,507,,30,1e-05,True,12.27355670928955,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9507389162561576,0.9532019704433498,,,2,True,False,,random,none,,,,,,True
page-blocks,/home/crc00006699/zh/tabiclv2/data184/page-blocks,multiclass,4378,876,1095,10,5,0.9771689497716894,0.9769755430864684,0.8995303112955375,0.9928929962404152,0.0886302042092117,14.60739254951477,0.6715953350067139,ok,,4378,3502,0,1095,,30,1e-05,True,14.60698390007019,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9714611872146118,0.9771689497716894,,,5,True,False,,random,none,,,,,,True
pc3,/home/crc00006699/zh/tabiclv2/data184/pc3,binclass,1250,250,313,37,2,0.8977635782747604,0.8493992104215747,0.5,0.822508896797153,0.2778711633368486,14.087969303131104,0.46996092796325684,ok,,1250,1000,0,313,,30,1e-05,True,14.087590456008911,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.892,0.896,,,6,True,False,,random,none,,,,,,True
pendigits,/home/crc00006699/zh/tabiclv2/data184/pendigits,multiclass,8793,1759,2199,16,10,0.9972714870395635,0.997273276642423,0.9972681553840104,0.9997121736022538,0.012819364352219692,14.23433232307434,1.3992702960968018,ok,,8793,7034,0,2199,,30,1e-05,True,14.233843564987183,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9977259806708357,0.9977259806708357,,,0,True,False,,random,none,,,,,,True
pol,/home/crc00006699/zh/tabiclv2/data184/pol,binclass,8065,1613,2017,26,2,0.992563212692117,0.9925631359159021,0.9925649314896094,0.999789592083943,0.020920619279036,18.230698823928833,1.5113780498504639,ok,,8065,6452,0,2017,,30,1e-05,True,18.230273723602295,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9894606323620583,0.990700557966522,,,2,True,False,,random,none,,,,,,True
rice_cammeo_and_osmancik,/home/crc00006699/zh/tabiclv2/data184/rice_cammeo_and_osmancik,binclass,3048,610,762,7,2,0.9304461942257218,0.9302826330511599,0.9268376765914336,0.9769657229695503,0.1938992174050329,12.69823145866394,0.5891482830047607,ok,,3048,2438,0,762,,30,1e-05,True,12.697862148284912,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9327868852459016,0.9360655737704918,,,4,True,False,,random,none,,,,,,True
rl,/home/crc00006699/zh/tabiclv2/data184/rl,binclass,3976,796,994,12,2,0.8943661971830986,0.8943421362993529,0.8943661971830985,0.9482164617483574,0.29295971221624817,15.009244918823242,0.7062737941741943,ok,,3976,3180,0,994,,30,1e-05,True,15.008820533752441,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8743718592964824,0.8831658291457286,,,5,True,False,,random,none,,,,,,True
segment,/home/crc00006699/zh/tabiclv2/data184/segment,multiclass,1848,370,462,17,7,0.9372294372294372,0.9371760551764846,0.9372294372294372,0.9958240412785866,0.1699289830908586,8.435113668441772,0.4716935157775879,ok,,1848,1478,0,462,,30,1e-05,True,8.43468451499939,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9486486486486486,0.9486486486486486,,,0,True,False,,random,none,,,,,,True
semeion,/home/crc00006699/zh/tabiclv2/data184/semeion,multiclass,1274,255,319,256,10,0.9529780564263323,0.953089419686292,0.9530241935483872,0.9990405629862751,0.13912764918103845,43.694050312042236,1.2100045680999756,ok,,1274,1019,0,319,,30,1e-05,True,43.69360947608948,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9372549019607843,0.9568627450980393,,,10,True,False,,random,none,,,,,,True
shrutime,/home/crc00006699/zh/tabiclv2/data184/shrutime,binclass,8000,1600,2000,10,2,0.8735,0.8612633243351486,0.7248503491852345,0.884282827249239,0.30805662167850534,12.428614377975464,1.1257143020629883,ok,,8000,6400,0,2000,,30,1e-05,True,12.428167581558228,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.87,0.87,,,0,True,False,,random,none,,,,,,True
spambase,/home/crc00006699/zh/tabiclv2/data184/spambase,binclass,3680,736,921,57,2,0.9576547231270358,0.9576444744013641,0.9554267010278741,0.9909703091521274,0.11869713164713057,12.864884853363037,1.329097032546997,ok,,3680,2944,0,921,,30,1e-05,True,12.864448308944702,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9619565217391305,0.9619565217391305,,,0,True,False,,random,none,,,,,,True
sports_articles_for_objectivity_analysis,/home/crc00006699/zh/tabiclv2/data184/sports_articles_for_objectivity_analysis,binclass,800,160,200,59,2,0.845,0.8425608503788404,0.8197066120159637,0.9032466832056951,0.3744814965375516,12.417716026306152,0.49463677406311035,ok,,800,640,0,200,,30,1e-05,True,12.417320013046265,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8375,0.85,,,3,True,False,,random,none,,,,,,True
steel_plates_faults,/home/crc00006699/zh/tabiclv2/data184/steel_plates_faults,multiclass,1552,311,389,27,7,0.8406169665809768,0.8407789123274074,0.8721605514368671,0.9802323798768293,0.3874117375214187,16.160257577896118,0.4828066825866699,ok,,1552,1241,0,389,,30,1e-05,True,16.15981698036194,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7942122186495176,0.8295819935691319,,,7,True,False,,random,none,,,,,,True
sylvine,/home/crc00006699/zh/tabiclv2/data184/sylvine,binclass,4099,820,1025,20,2,0.9707317073170731,0.9707316516010556,0.9707335830896686,0.9979250426413255,0.059189541858199905,13.087030172348022,0.7867140769958496,ok,,4099,3279,0,1025,,30,1e-05,True,13.086652755737305,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9780487804878049,0.9817073170731707,,,3,True,False,,random,none,,,,,,True
telco-customer-churn,/home/crc00006699/zh/tabiclv2/data184/telco-customer-churn,binclass,5634,1127,1409,18,2,0.8048261178140526,0.7949110424513848,0.7091955359218787,0.8510501433775091,0.4102857647623726,14.75683069229126,0.9826140403747559,ok,,5634,4507,0,1409,,30,1e-05,True,14.75640082359314,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8127772848269743,0.8136645962732919,,,2,True,False,,random,none,,,,,,True
thyroid-ann,/home/crc00006699/zh/tabiclv2/data184/thyroid-ann,multiclass,3017,604,755,21,3,0.9880794701986755,0.9878644042103667,0.9025536620921932,0.9988082912598837,0.03503260414047683,18.675710916519165,0.7466878890991211,ok,,3017,2413,0,755,,30,1e-05,True,18.67526078224182,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9917218543046358,1.0,,,8,True,False,,random,none,,,,,,True
turiye_student_evaluation,/home/crc00006699/zh/tabiclv2/data184/turiye_student_evaluation,multiclass,4656,932,1164,32,5,0.520618556701031,0.49058143050756237,0.40982887222323844,0.7639629592675881,1.1903069145655913,39.82311797142029,1.085352897644043,ok,,4656,3724,0,1164,,30,1e-05,True,39.822720766067505,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5075107296137339,0.5225321888412017,,,20,True,False,,random,none,,,,,,True
